week,order_ID,item_name,amount,price_unit,price_total,item_type,category,day,time,store_type,store_name,promo,reorder,item_id,type_id,order_amount,order_price,day_num,storetype_num,storename_num,cat_num,time_num,promo_num,datetime,timestamp,dates,times,times_min,dates_days
7,13,WASABI PASTE JH FOODS 43GR,1,1.55,1.55,wasabi,condiments,Thursday,afternoon,supermarket,Food Factory,False,False,61,27,14,61.85,3,2,4,5,0,0,2022-01-27 16:51:00,1643302260000000000,2022-01-27,16:51:00,1651,20220127
7,13,KIKKOMAN TERIYAKI SAUCE 250ML,1,4.25,4.25,teriyaki sauce,condiments,Thursday,afternoon,supermarket,Food Factory,False,False,62,28,14,61.85,3,2,4,5,0,0,2022-01-27 16:51:00,1643302260000000000,2022-01-27,16:51:00,1651,20220127
7,13,KIKKOMAN SOY SAUCE 500ML-PET,1,5.75,5.75,soy sauce,condiments,Thursday,afternoon,supermarket,Food Factory,False,False,63,29,14,61.85,3,2,4,5,0,0,2022-01-27 16:51:00,1643302260000000000,2022-01-27,16:51:00,1651,20220127
7,13,HEALTHY BOY OYSTER SAUCE 700ML,1,2.85,2.85,oyster sauce,condiments,Thursday,afternoon,supermarket,Food Factory,False,False,64,30,14,61.85,3,2,4,5,0,0,2022-01-27 16:51:00,1643302260000000000,2022-01-27,16:51:00,1651,20220127
7,13,LKK SWEET HOISIN SAUS 567GR,1,3.2,3.2,hoisin sauce,condiments,Thursday,afternoon,supermarket,Food Factory,False,False,65,31,14,61.85,3,2,4,5,0,0,2022-01-27 16:51:00,1643302260000000000,2022-01-27,16:51:00,1651,20220127
8,17,MI GUACAMOLE 200GR,1,3.0,3.0,guacamole,condiments,Thursday,afternoon,supermarket,Delhaize,False,True,66,25,8,16.48,3,2,3,5,0,0,2022-02-03 15:12:00,1643901120000000000,2022-02-03,15:12:00,1512,20220203
5,10,BONI olie zonnebloem 1L,1,1.65,1.65,sunflour oil,cooking aids,Monday,evening,supermarket,Colruyt,False,False,67,32,39,59.076885,1,2,2,6,1,0,2022-01-10 18:45:00,1641840300000000000,2022-01-10,18:45:00,1845,20220110
5,10,POCO LOCO mexican fajita mix 40g,1,1.39,1.39,spice mix,cooking aids,Monday,evening,supermarket,Colruyt,False,False,68,33,39,59.076885,1,2,2,6,1,0,2022-01-10 18:45:00,1641840300000000000,2022-01-10,18:45:00,1845,20220110
5,10,POCO LOCO hot taco spice mix 40g,1,1.39,1.39,spice mix,cooking aids,Monday,evening,supermarket,Colruyt,False,True,69,33,39,59.076885,1,2,2,6,1,0,2022-01-10 18:45:00,1641840300000000000,2022-01-10,18:45:00,1845,20220110
7,13,BROODKRUIM PANKO OBENTO 200GR,1,1.95,1.95,breadcrumbs,cooking aids,Thursday,afternoon,supermarket,Food Factory,False,False,70,34,14,61.85,3,2,4,6,0,0,2022-01-27 16:51:00,1643302260000000000,2022-01-27,16:51:00,1651,20220127
7,13,MEE CHUN 5-SPICE POWDER 50GR,1,1.35,1.35,5-spice powder,cooking aids,Thursday,afternoon,supermarket,Food Factory,False,False,71,35,14,61.85,3,2,4,6,0,0,2022-01-27 16:51:00,1643302260000000000,2022-01-27,16:51:00,1651,20220127
8,16,BONI sesamolie 25cl,1,2.49,2.49,seseame oil,cooking aids,Wednesday,evening,supermarket,Colruyt,True,False,72,36,54,118.65543,5,2,2,6,1,1,2022-02-02 18:04:00,1643825040000000000,2022-02-02,18:04:00,1804,20220202
1,1,HALFVOLLE MELK 50CL,1,0.47,0.47,milk,dairy & plant based,Tuesday,evening,supermarket,Aldi,False,False,73,37,44,78.07517,4,2,1,7,1,0,2021-11-23 18:41:00,1637692860000000000,2021-11-23,18:41:00,1841,20211123
1,1,WATOU PER KG,1,4.525169999999999,4.525169999999999,cheese,dairy & plant based,Tuesday,evening,supermarket,Aldi,False,False,74,38,44,78.07517,4,2,1,7,1,0,2021-11-23 18:41:00,1637692860000000000,2021-11-23,18:41:00,1841,20211123
1,1,BUTELLA OMEGA 3 250G,1,0.49,0.49,butter,dairy & plant based,Tuesday,evening,supermarket,Aldi,False,False,75,39,44,78.07517,4,2,1,7,1,0,2021-11-23 18:41:00,1637692860000000000,2021-11-23,18:41:00,1841,20211123
2,4,BONI Belgische scharreleieren L 6st,1,1.79,1.79,eggs,dairy & plant based,Wednesday,evening,supermarket,Colruyt,False,False,76,40,53,83.10005199999999,5,2,2,7,1,0,2021-12-01 19:00:00,1638385200000000000,2021-12-01,19:00:00,1900,20211201
2,4,EVERYDAY verse kaas look &f. kruiden 150g,1,0.59,0.59,cream cheese,dairy & plant based,Wednesday,evening,supermarket,Colruyt,False,False,77,41,53,83.10005199999999,5,2,2,7,1,0,2021-12-01 19:00:00,1638385200000000000,2021-12-01,19:00:00,1900,20211201
2,4,CAPRICE DES DIEUX kaas zacht 300g,1,4.55,4.55,cheese,dairy & plant based,Wednesday,evening,supermarket,Colruyt,False,True,78,38,53,83.10005199999999,5,2,2,7,1,0,2021-12-01 19:00:00,1638385200000000000,2021-12-01,19:00:00,1900,20211201
5,10,BONI om te smeren light vlootje 250g,1,0.49,0.49,margarine,dairy & plant based,Monday,evening,supermarket,Colruyt,False,False,79,42,39,59.076885,1,2,2,7,1,0,2022-01-10 18:45:00,1641840300000000000,2022-01-10,18:45:00,1845,20220110
5,10,EVERYDAY emmental geraspt 500g,1,2.73,2.73,cheese,dairy & plant based,Monday,evening,supermarket,Colruyt,False,True,80,38,39,59.076885,1,2,2,7,1,0,2022-01-10 18:45:00,1641840300000000000,2022-01-10,18:45:00,1845,20220110
